,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918
TOR,18.67,18.35,15.95,13.97,18.79,17.78,17.71,21.36,0,20.11,17.55,15.47,16.06,17.76,14.44,11.42,15.53,18.95,16.97,19.17,21.03,17.51,17.63,23.28,16.77,15.56,17.16,18.41,19.60,21.41,22.25,19.86,25.07,24.73,25.42,21.84,22.42,19.25,17.65,18.21,16.06,19.05,18.28,20.25,16.19,14.29,15.61,20.31,18.21,13.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MIN,17.88,15.12,18.15,19.09,20.12,18.93,18.95,16.96,0,13.57,14.21,14.75,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,15.91,17.23,14.35,18.75,18.89,15.63,17.71,17.69,0,16.35,11.88,16.86,22.90,20.07,19.74,18.92,13.89,14.95,13.41,18.32,19.25,17.46,19.88,18.99,18.24,20.46,21.47,19.72,19.34,14.05,21.93,15.08,20.38,17.43,22.47,22.58,16.06,13.07,16.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLU,14.19,15.46,13.95,18.18,12.73,14.89,14.84,14.19,0,14.46,17.32,14.04,14.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTT,15.92,18.15,17.51,16.90,19.47,18.29,17.87,20.82,0,21.62,21.23,16.62,18.64,16.77,14.86,12.80,16.67,12.33,14.42,14.48,14.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIN,13.79,17.93,18.34,16.14,19.33,16.46,16.46,18.98,0,14.63,17.25,12.09,13.67,12.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLO,20.42,18.53,13.11,14.24,16.56,19.17,18.10,15.33,0,16.77,14.12,14.66,13.03,17.16,13.42,13.45,14.20,17.31,13.06,15.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYIS,19.87,18.52,17.22,16.01,16.88,14.55,18.10,16.89,0,16.62,15.10,16.25,13.21,14.06,15.84,16.71,13.87,18.82,15.73,20.05,21.63,22.12,16.09,23.64,22.49,22.48,24.93,21.99,25.63,22.50,25.84,28.17,29.34,23.77,31.15,31.28,23.33,31.72,18.68,13.91,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDM,20.12,20.61,14.47,17.28,16.95,16.57,14.21,18.14,0,13.02,14.51,15.32,14.82,15.77,14.38,15.94,17.98,15.93,16.22,18.41,15.87,18.58,17.45,20.64,19.81,21.89,22.01,26.44,25.26,25.47,29.25,25.22,22.19,21.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLO,15.00,18.39,18.49,18.06,15.72,14.63,21.12,18.82,0,20.39,18.73,18.02,22.04,19.54,18.93,17.37,20.60,21.29,24.19,15.58,21.77,17.14,15.55,18.87,21.68,21.71,21.47,23.40,20.92,21.84,20.75,26.43,23.89,21.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
